Question,Answer
What is the capital of France?,Paris
What is the capital of Japan?,Tokyo
What is the capital of Italy?,Rome
"List the first three US presidents:","1. George Washington<br>2. John Adams<br>3. Thomas Jefferson"
"Name the states of matter:","Solid
Liquid
Gas
Plasma"
What is the largest planet in our solar system?,Jupiter
What is the chemical symbol for Gold?,Au
What year did World War II end?,1945
Who wrote "Romeo and Juliet"?,William Shakespeare
What is the formula for water?,H2O
What is the square root of 144?,12
What is the speed of light?,"299,792,458 meters per second"
What is this animal?<br> [img:tiger.jpg],This is a tiger
What is the capital of France?,Paris<br> [img:eiffel_tower.jpg]
[img:chemical_structure.png]<br> Name this molecule,Caffeine (C₈H₁₀N₄O₂)
